,text,author
87,"I arose, as I thought, a new man, and proceeded steadily and complacently on my unknown way.",EAP
88,"Meantime the devil, to whom the copy was entrusted, ran up stairs to his 'case,' in an unutterable hurry, and forthwith made a commencement at 'setting' the MS.",EAP
89,This was in truth a very droll little somebody.,EAP
90,"By what miracle I escaped destruction, it is impossible to say.",EAP
91,"How is it possible to extort a meaning from all this jargon about 'devil's seats,' 'death's heads,' and 'bishop's hotels?'"" ""I confess,"" replied Legrand, ""that the matter still wears a serious aspect, when regarded with a casual glance.",EAP
92,Many were quite awry.,EAP
93,"I must suppose the ship to be within the influence of some strong current, or impetuous under tow.",EAP
94,"They insisted that this was Kingsport, and I could not deny it.",HPL
95,"For the last time we looked on the wide extent of country visible from the terrace, and saw the last rays of the sun tinge the dark masses of wood variegated by autumnal tints; the uncultivated fields and smokeless cottages lay in shadow below; the Thames wound through the wide plain, and the venerable pile of Eton college, stood in dark relief, a prominent object; the cawing of the myriad rooks which inhabited the trees of the little park, as in column or thick wedge they speeded to their nests, disturbed the silence of evening.",MWS
96,The dress was much torn and otherwise disordered.,EAP
97,"This building stood on the steep river bluff near a bridge and an open confluence of streets which I took to be the earliest civic centre, displaced after the Revolution by the present Town Square.",HPL
98,"To tear a piece from the interior, where no edge is presented, could only be effected by a miracle through the agency of thorns, and no one thorn could accomplish it.",EAP
99,"He transacted public business with distaste, and hastened from it to the solitude which was at once his bane and relief.",MWS
100,But this half sentiment at no time amounted to conviction.,EAP
101,"Perdita would not enter Athens; but reposing at Marathon on the night of our arrival, conducted me on the following day, to the spot selected by her as the treasure house of Raymond's dear remains.",MWS
102,"In the middle of this extent was a depression, level with the ordinary floor of the valley.",EAP
103,"In respect to the grass having 'grown around and over some of them,' it is obvious that the fact could only have been ascertained from the words, and thus from the recollections, of two small boys; for these boys removed the articles and took them home before they had been seen by a third party.",EAP
104,"However, it would be better for the gentleman to take another room and get a crucifix from some good priest like Father Iwanicki.",HPL
105,"He could not, of course, have locked the door behind him; yet it was now fastened, presumably from the inside.",HPL
106,"This thicket, although dense, was in the close vicinity of a public road.",EAP
107,"""Did your Luther take accaount o' whar them big tracks led tew?",HPL
108,"Once we fancied that a large, opaque body darkened the library window when the moon was shining against it, and another time we thought we heard a whirring or flapping sound not far off.",HPL
109,"I had now spent many hours in tears and mournful meditation; it was past twelve o'clock; all was at peace in the house, and the gentle air that stole in at my window did not rustle the leaves of the twining plants that shadowed it.",MWS
110,And then swiftly he dispatched his aides de camp to command the horse to fall on the routed enemy.,MWS
111,"Their minister at Constantinople was urged to make the necessary perquisitions, and should his existence be ascertained, to demand his release.",MWS
112,"The fellow's eyes had been closed; but in the dragging of his body to the rail they were jarred open, and many seemed to entertain a queer delusion that they gazed steadily and mockingly at Schmidt and Zimmer, who were bent over the corpse.",HPL
113,"She was there, lifeless and inanimate, thrown across the bed, her head hanging down and her pale and distorted features half covered by her hair.",MWS
114,Sometimes we passed whole days under the leafy covert of the forest with our books and music.,MWS
115,"And the lulling melody that had been softer than the wind harp of Aeolus, and more divine than all save the voice of Eleonora, it died little by little away, in murmurs growing lower and lower, until the stream returned, at length, utterly, into the solemnity of its original silence.",EAP
116,"Let us carefully compare with each other the various communications sent to the evening paper, in which the object was to inculpate a gang.",EAP
117,"Their waving translucent arms, guided by the detestable piping of those unseen flutes, beckoned in uncanny rhythm to a throng of lurching labourers who followed dog like with blind, brainless, floundering steps as if dragged by a clumsy but resistless daemon will.",HPL
118,"She told me, that she had kept up her strength and courage till her arrival at my cottage, and then both failed.",MWS
119,"We lived as recluses; devoid of friends, alone, and without servants in a few rooms of an ancient manor house on a bleak and unfrequented moor; so that our doors were seldom disturbed by the knock of the visitor.",HPL
120,"In groping my way around the prison, I could not fail to encounter this rag upon completing the circuit.",EAP
121,"""Here, then, we leave, in the very beginning, the groundwork for something more than a mere guess.",EAP
122,Yet why do I say this?,MWS
123,"No form could be discerned on the terraces of the houses; in the higher parts of the town no moving shadow bespoke the presence of any living being: the very trees waved not, and mocked the stability of architecture with like immovability.",MWS
124,"""Ha ha ha"" said his Grace on the third day after his decease.",EAP
125,"He did not even introduce me to his wife this courtesy devolving, per force, upon his sister Marian a very sweet and intelligent girl, who, in a few hurried words, made us acquainted.",EAP
126,I should think you'd have known I didn't drop Pickman for the same silly reasons that fussy old women like Dr. Reid or Joe Minot or Bosworth did.,HPL
127,"The fire of madness died from his eyes, and in dull wonder he looked at his questioners and asked why he was bound.",HPL
128,"The statuette, idol, fetish, or whatever it was, had been captured some months before in the wooded swamps south of New Orleans during a raid on a supposed voodoo meeting; and so singular and hideous were the rites connected with it, that the police could not but realise that they had stumbled on a dark cult totally unknown to them, and infinitely more diabolic than even the blackest of the African voodoo circles.",HPL
129,"I now lamented that my great elevation would, in this case, prevent my taking as accurate a survey as I could wish.",EAP
130,"The damn' government can try tuh make folks good ef it wants tuh, but it can't stop a feller from hittin' 'er up when he feels like it.",HPL
131,"Arm holes had been cut in the sides, for the sake not more of elegance than of convenience; but the dress, nevertheless, prevented its proprietor from sitting as erect as his associates; and as he lay reclining against his tressel, at an angle of forty five degrees, a pair of huge goggle eyes rolled up their awful whites towards the ceiling in absolute amazement at their own enormity.",EAP
132,The neighborhood is secluded particularly so.,EAP
133,"But their ardent Protestantism too ardent, some whispered and their evident distress when virtually driven from the village down the bay, had moved the sympathy of the town fathers.",HPL
134,"The phrase quoted may mean any thing, or nothing, and guides in no degree.",EAP
135,"And inside that rusted iron strait jacket lurked gibbering hideousness, perversion, and diabolism.",HPL
136,"Though the northward pull had not diminished, he resisted it as he had resisted the other pull, and finally found that he could almost balance the one against the other.",HPL
137,"My friend and I had both been educated in one school, or rather I was his pupil in the opinion, that steady adherence to principle was the only road to honour; a ceaseless observance of the laws of general utility, the only conscientious aim of human ambition.",MWS
138,"Well, Eliot, there wasn't much for me to do after that harangue but to keep myself from running instead of walking for the first vacant cab we could sight.",HPL
139,"Wyatt's three rooms were in the after cabin, which was separated from the main one by a slight sliding door, never locked even at night.",EAP
140,All that I recalled of a classic youth came to my lips as the horrors of the situation roused my deepest superstitions.,HPL
141,It must be confessed that a supposition apparently so wild has every probability in its favor.,EAP
142,Would an architect be permitted to see the artist?,MWS
143,"And indeed your Excellencies may well imagine that, after a residence of five years upon a planet not only deeply interesting in its own peculiar character, but rendered doubly so by its intimate connection, in capacity of satellite, with the world inhabited by man, I may have intelligence for the private ear of the States' College of Astronomers of far more importance than the details, however wonderful, of the mere voyage which so happily concluded.",EAP
144,"Upon arousing, I found by my side, as before, a loaf and a pitcher of water.",EAP
145,"She fell dead upon the spot, without a groan.",EAP
146,"How, I often asked myself, could the stolid imagination of a Catskill degenerate conjure up sights whose very possession argued a lurking spark of genius?",HPL
147,"They lived in immense houses along Washington Street, and several were reputed to harbour in concealment certain living kinsfolk whose personal aspect forbade public view, and whose deaths had been reported and recorded.",HPL
148,"My mother, pennyless and burthened with two children, waited week after week, and month after month, in sickening expectation of a reply, which never came.",MWS
149,"Besides, there is Luchesi "" ""Enough,"" he said; ""the cough is a mere nothing; it will not kill me.",EAP
150,"There was a companionship in suffering there, and, the neighbours keeping constant watch on each other, and inspired by the active benevolence of Adrian, succour was afforded, and the path of destruction smoothed.",MWS
151,Fortunately I had money with me.,MWS
152,Then suddenly all thoughts of time were blotted out by an onrushing image of sharp intensity and unaccountable horror which had seized me before I knew what it really was.,HPL
153,"Turning my head gently to one side, I perceived, to my extreme horror, that the huge, glittering, scimetar like minute hand of the clock had, in the course of its hourly revolution, descended upon my neck.",EAP
154,"All this was flagrant trashiness, and my friend Manton was not slow to insist on that fact.",HPL
155,"After Taran Ish there were many high priests in Sarnath, but never was the sea green stone idol found.",HPL
156,"I suppose one should start in the cold December of , when the ground froze and the cemetery delvers found they could dig no more graves till spring.",HPL
157,"I was trembling and my pillow was wet with my tears; for a few moments my heart beat hard, but the bright beams of the sun and the chirping of the birds quickly restored me to myself, and I rose with a languid spirit, yet wondering what events the day would bring forth.",MWS
158,"I lay upon the grass surrounded by a darkness which not the slightest beam of light penetrated There was no sound for the deep night had laid to sleep the insects, the only creatures that lived on the lone spot where no tree or shrub could afford shelter to aught else There was a wondrous silence in the air that calmed my senses yet which enlivened my soul, my mind hurried from image to image and seemed to grasp an eternity.",MWS
159,"Although upreared upon the summit of a wave more than a hundred times her own altitude, her apparent size exceeded that of any ship of the line or East Indiaman in existence.",EAP
160,"With a well feigned show of reluctance, and not until after my repeated refusal had seduced him into some angry words which gave a color of pique to my compliance, did I finally comply.",EAP
161,The arms were bent over on the chest and were rigid.,EAP
162,"And now a new anxiety seized me the sound would be heard by a neighbour The old man's hour had come With a loud yell, I threw open the lantern and leaped into the room.",EAP
163,"""Yes,"" I said, ""let us be gone.""",EAP
164,"The description of the wings of the man bat, on page , is but a literal copy of Peter Wilkins' account of the wings of his flying islanders.",EAP
165,"And, now, let me beg your notice to the highly artificial arrangement of the articles.",EAP
166,"But the condition with which it was coupled rendered hesitation, of course, a matter altogether out of the question.",EAP
167,"""It is nothing,"" he said, at last.",EAP
168,The presence of a friend in its armies and councils made us enter into the details with enthusiasm; and a short letter now and then from Raymond told us how he was engrossed by the interests of his adopted country.,MWS
169,"It was torn nearly in two, across the middle as if a design, in the first instance, to tear it entirely up as worthless, had been altered, or stayed, in the second.",EAP
170,"Satisfied with having produced in my bosom the intended effect, he seemed to chuckle in secret over the sting he had inflicted, and was characteristically disregardful of the public applause which the success of his witty endeavours might have so easily elicited.",EAP
171,"Throw the ignoratio elenchi in his teeth, and, at once, you have him annihilated.",EAP
172,"Wildly excited with wine, the unexpected interruption rather delighted than surprised me.",EAP
173,"His mask and cloak lay, where he had thrown them, upon the floor.",EAP
174,"It was surely that I might fulfil my destiny, which is now drawing to a close.",MWS
175,"Shaking in every limb, I groped my way back to the wall; resolving there to perish rather than risk the terrors of the wells, of which my imagination now pictured many in various positions about the dungeon.",EAP
176,"I look on the hands which executed the deed; I think on the heart in which the imagination of it was conceived and long for the moment when these hands will meet my eyes, when that imagination will haunt my thoughts no more.",MWS
177,"There was a factory inspector who stopped at the Gilman a couple of years ago, and he had a lot of unpleasant hints about the place.",HPL
178,Is it not possible that the germ of an actual contagious madness lurks in the depths of that shadow over Innsmouth?,HPL
179,"I longed, yet dared not to employ my vision.",EAP
180,"And in the direction or concentration of this effort or, more properly, in its adaptation to the eyes which were to behold it on earth he perceived that he should be employing the best means laboring to the greatest advantage in the fulfilment, not only of his own destiny as poet, but of the august purposes for which the Deity had implanted the poetic sentiment in man.",EAP
181,"It was this: or, rather, thus was it carried into execution.",EAP
182,"It was about a foot square, and its Gothic carvings were so fearful that he did not marvel no person since Edmund Carter had dared to open it.",HPL
183,"Looking for the youth Vercellius, our guide, we found only a crumpled heap weltering in a pool of blood.",HPL
184,"His wilder wanderings were very startling indeed, including frantic appeals that something in a boarded up farmhouse be destroyed, and fantastic references to some plan for the extirpation of the entire human race and all animal and vegetable life from the earth by some terrible elder race of beings from another dimension.",HPL
185,"On being charged with the fact, the poor girl confirmed the suspicion in a great measure by her extreme confusion of manner.",MWS
186,"And shadowed on a screen, I saw hooded forms amidst ruins, and yellow evil faces peering from behind fallen monuments.",HPL
187,Was certain it was not French.,EAP
188,"The flutes piped horribly, and again I heard the beating of the drums from the direction of the island ruin.",HPL
189,"Mumbled tales of the weird rites and godless revels of bygone years in the ancient hall gave to me a new and potent interest in the tomb, before whose door I would sit for hours at a time each day.",HPL
190,"As I ran at full speed, with my nose up in the atmosphere, and intent only upon the purloiner of my property, I suddenly perceived that my feet rested no longer upon terra firma; the fact is, I had thrown myself over a precipice, and should inevitably have been dashed to pieces but for my good fortune in grasping the end of a long guide rope, which depended from a passing balloon.",EAP
191,"One seeks to recall the original beauty of the country, by adapting its means to the surrounding scenery; cultivating trees in harmony with the hills or plain of the neighboring land; detecting and bringing into practice those nice relations of size, proportion and color which, hid from the common observer, are revealed everywhere to the experienced student of nature.",EAP
192,"And when my knock was answered I was fully afraid, because I had not heard any footsteps before the door creaked open.",HPL
193,The prince had provided all the appliances of pleasure.,EAP
194,"Here have another drink I need one anyhow There's no use in my trying to tell you what they were like, because the awful, the blasphemous horror, and the unbelievable loathsomeness and moral foetor came from simple touches quite beyond the power of words to classify.",HPL
195,Some unknown circumstance now induced his mother to send him from under her immediate tutelage; and we heard that he was about to visit Cumberland.,MWS
196,"Each one of a gang so placed, is not so much greedy of reward, or anxious for escape, as fearful of betrayal.",EAP
197,"They believed all sorts of things and maybe they saw all sorts of things, too, for the Middle Ages had some curious phases.",HPL
198,"The lurking fear dwelt in the shunned and deserted Martense mansion, which crowned the high but gradual eminence whose liability to frequent thunderstorms gave it the name of Tempest Mountain.",HPL
199,"I was hardly more devoted to my Idris than to her brother, and she loved him as her teacher, her friend, the benefactor who had secured to her the fulfilment of her dearest wishes.",MWS
200,"""But, my dear fellow, you are joking then,"" said I, ""this is a very passable skull indeed, I may say that it is a very excellent skull, according to the vulgar notions about such specimens of physiology and your scarabæus must be the queerest scarabæus in the world if it resembles it.",EAP
201,"On neither occasion, though, had Gilman been there and when told of the matter he wondered where he could have been wandering, barefoot and with only his night clothes on.",HPL
202,"Among other painful restrictions, she has occasioned it to become a law among us, never to mention Raymond's name before her.",MWS
203,"Evadne did not answer; her large dark eyes were cast down, at length a tear glimmered on the lashes.",MWS
204,"He was an excellent ""whip,"" however; and having doffed his cassock to put on a great coat, he drove the hack which conveyed the ""happy couple"" out of town.",EAP
205,"My father's impulses, never under his own controul, perpetually led him into difficulties from which his ingenuity alone could extricate him; and the accumulating pile of debts of honour and of trade, which would have bent to earth any other, was supported by him with a light spirit and tameless hilarity; while his company was so necessary at the tables and assemblies of the rich, that his derelictions were considered venial, and he himself received with intoxicating flattery.",MWS
206,"He wished to give his invention a trial, I suppose, and so he persuaded the rest of the patients to join him in a conspiracy for the overthrow of the reigning powers.""",EAP
207,"Scarcely had I dropped my head back into its original position, when there flashed upon my mind what I cannot better describe than as the unformed half of that idea of deliverance to which I have previously alluded, and of which a moiety only floated indeterminately through my brain when I raised food to my burning lips.",EAP
208,"It wearied Carter to see how solemnly people tried to make earthly reality out of old myths which every step of their boasted science confuted, and this misplaced seriousness killed the attachment he might have kept for the ancient creeds had they been content to offer the sonorous rites and emotional outlets in their true guise of ethereal fantasy.",HPL
209,His brow was of the coldness of ice.,EAP
210,"References to decline were few, though the significance of the later record was unmistakable.",HPL
211,"Ise gittin to be skeered, I tell you.",EAP
212,"By way of punishing me for this imprudence, she concocted with Talbot a plot.",EAP
213,"In the first days of his bondage he had turned to the gentle churchly faith endeared to him by the naive trust of his fathers, for thence stretched mystic avenues which seemed to promise escape from life.",HPL
214,"He spoke upon this topic with warmth: regarding not so much its immediate or obvious importance, which is little, as the character of the conclusions to which it might lead, or of the collateral propositions which it might serve to corroborate or sustain.",EAP
215,"Amidst this elysian realm I dwelt not as a stranger, for each sight and sound was familiar to me; just as it had been for uncounted aeons of eternity before, and would be for like eternities to come.",HPL
216,"He remembered the words of her letter and he indulged the wild idea that his kisses breathing warm love and life would infuse new spirit into her, and that with him near her she could not die; that his presence was the talisman of her life.",MWS
217,My fame is universal.,EAP
218,From its nether extremity swung a large cresset.,EAP
219,"I perceived, as the shape came nearer sight tremendous and abhorred that it was the wretch whom I had created.",MWS
220,Idris endeavoured to calm Perdita; but the poor girl's agitation deprived her of all power of self command.,MWS
221,"The resources of his mind on this occasion were truly astonishing: his conversation was full of imagination; and very often, in imitation of the Persian and Arabic writers, he invented tales of wonderful fancy and passion.",MWS
222,"The first coup d'oeil, as the sun slid into the position described, impressed me very much as I have been impressed, when a boy, by the concluding scene of some well arranged theatrical spectacle or melodrama.",EAP
223,"He perceived the cloud gathering, and tried to dissipate it; but the strength of my feelings would not permit me to pass thus lightly over this sacred subject; so I said emphatically, ""Permit me to remark, that I am devotedly attached to the Earl of Windsor; he is my best friend and benefactor.",MWS
224,"It was as the ass and the lap dog; yet surely the gentle ass whose intentions were affectionate, although his manners were rude, deserved better treatment than blows and execration.",MWS
225,"Kuranes had awaked the very moment he beheld the city, yet he knew from his brief glance that it was none other than Celephaïs, in the Valley of Ooth Nargai beyond the Tanarian Hills, where his spirit had dwelt all the eternity of an hour one summer afternoon very long ago, when he had slipt away from his nurse and let the warm sea breeze lull him to sleep as he watched the clouds from the cliff near the village.",HPL
226,"That morning and afternoon I wandered alone through the sun gilded village and talked now and then with idle labourers, for Barry was busy with the final plans for beginning his work of drainage.",HPL
227,The heart had ceased to beat.,EAP
228,"My distance from the moon was comparatively trifling, while the labor required by the condenser was diminished not at all, and I could discover no indication whatever of a decreasing rarity in the air.",EAP
229,"I must besides do the driver the justice to state that he did not forget to throw after me the largest of my trunks, which, unfortunately falling on my head, fractured my skull in a manner at once interesting and extraordinary.",EAP
230,"Believing him just conscious after a fainting fit, I renewed my rapping, at the same time calling out my name reassuringly.",HPL
231,"He was gazing at me gaspingly and fascinatedly, but did not seem afraid.",HPL
232,"This person introduced, or at all events propagated what was termed the deductive or a priori mode of investigation.",EAP
233,"Who shall say where the one ends, and where the other begins?",EAP
234,"This was to be my realm, too I could not escape it.",HPL
235,"They met the things on the little islet with the queer ruins, an' it seems them awful picters o' frog fish monsters was supposed to be picters o' these things.",HPL
236,"""Upon this latter point,"" said Madame Lalande, laughingly, ""you have been surely injudicious in coming to confession; for, without the confession, I take it for granted that no one would have accused you of the crime.",EAP
237,"I procured Laudanum and placing it in two glasses on the table, filled my room with flowers and decorated the last scene of my tragedy with the nicest care.",MWS
238,"The things we saw were very old and marvellous, or at least they seemed so in the few straggling rays of light by which I viewed them, and I shall never forget the tottering Ionic columns and fluted pilasters and urn headed iron fence posts and flaring lintelled windows and decorative fanlights that appeared to grow quainter and stranger the deeper we advanced into this inexhaustible maze of unknown antiquity.",HPL
239,"My father, Thomas Bob, Esq., stood for many years at the summit of his profession, which was that of a merchant barber, in the city of Smug.",EAP
240,"Felix replied in a cheerful accent, and the old man was recommencing his music when someone tapped at the door.",MWS
241,And then of what use would be pursuit?,MWS
242,These things were a hobby which he rode to the death.,EAP
243,He was remarkable in the entire and continuous profusion of good gifts ever lavished upon him by fortune.,EAP
244,"The door leading from the front room into the passage was locked, with the key on the inside.",EAP
245,"That's because only a real artist knows the actual anatomy of the terrible or the physiology of fear the exact sort of lines and proportions that connect up with latent instincts or hereditary memories of fright, and the proper colour contrasts and lighting effects to stir the dormant sense of strangeness.",HPL
246,"I will repeat here what he said, underlining the words he emphasised: ""He is calling He is calling I hear him We must go"" As he spoke he took his ivory image from the table, pocketed it, and seized my arm in an effort to drag me up the companionway to the deck.",HPL
247,It was hard to conceive how all this beauty had been attained.,EAP
248,"Penniless, and at the end of my supply of the drug which alone makes life endurable, I can bear the torture no longer; and shall cast myself from this garret window into the squalid street below.",HPL
249,"My key to the vault I kept suspended from a cord about my neck, its presence known only to me.",HPL
